product_id,color,image,money,name,brand_id,category_id
79,black,https://deichmann.scene7.com/asset/deichmann/US_01_105671_01?$rr_main$&defaultImage=default_obs,80,"SKECHERS WOMENS MILLION AIR ELEVATED AIR SNEAKER",4,2
80,red,https://deichmann.scene7.com/asset/deichmann/US_01_105670_01?$rr_main$&defaultImage=default_obs,80,"SKECHERS WOMENS MILLION AIR ELEVATED AIR SNEAKER",4,2
81,black,https://deichmann.scene7.com/asset/deichmann/US_01_600923_01?$rr_main$&defaultImage=default_obs,80,"PUMA MENS CELL SURIN 2 SNEAKER",5,1
82,grey,https://deichmann.scene7.com/asset/deichmann/US_01_705254_01?$rr_main$&defaultImage=default_obs,80,"PUMA MENS CELL SURIN 2 SNEAKER",5,1
83,olive,https://deichmann.scene7.com/asset/deichmann/US_01_600897_01?$rr_main$&defaultImage=default_obs,75,"PUMA MENS REBOUND RUGGED SNEAKER BOOT",5,1
84,black,https://deichmann.scene7.com/asset/deichmann/US_01_601076_01?$rr_main$&defaultImage=default_obs,75,"PUMA MENS REBOUND RUGGED SNEAKER BOOT",5,1
85,olive,https://deichmann.scene7.com/asset/deichmann/US_01_601070_01?$rr_main$&defaultImage=default_obs,70,"PUMA MENS PACER FUTURE STREET SNEAKERS",5,1
86,grey,https://deichmann.scene7.com/asset/deichmann/US_01_600742_01?$rr_main$&defaultImage=default_obs,70,"PUMA MENS PACER FUTURE STREET SNEAKERS",5,1
87,white,https://deichmann.scene7.com/asset/deichmann/US_01_600900_01?$rr_main$&defaultImage=default_obs,80,"PUMA MENS PLAYMAKER PRO BASKETBALL SHOE",5,1
88,black,https://deichmann.scene7.com/asset/deichmann/US_01_600901_01?$rr_main$&defaultImage=default_obs,80,"PUMA MENS PLAYMAKER PRO BASKETBALL SHOE",5,1
89,brown,https://deichmann.scene7.com/asset/deichmann/US_01_600924_01?$rr_main$&defaultImage=default_obs,75,"PUMA MENS REBOUND GAME MID SNEAKER",5,1
90,red,https://deichmann.scene7.com/asset/deichmann/US_01_600893_01?$rr_main$&defaultImage=default_obs,75,"PUMA MENS REBOUND GAME MID SNEAKER",5,1
91,grey,https://deichmann.scene7.com/asset/deichmann/US_01_401446_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS CARINA 2.0 CHEVRON MID SNEAKER",5,2
92,black,https://deichmann.scene7.com/asset/deichmann/US_01_401442_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS AXELION GLAM SNEAKER",5,2
93,red,https://deichmann.scene7.com/asset/deichmann/US_01_401087_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS SOFTRIDE ENZO RUNNING SHOE",5,2
94,pink,https://deichmann.scene7.com/asset/deichmann/US_01_400909_01?$rr_main$&defaultImage=default_obs,70,"PUMA WOMENS SOFTRIDE ENZO RUNNING SHOE",5,2
95,black,https://deichmann.scene7.com/asset/deichmann/US_01_401249_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS SOFTRIDE ENZO RUNNING SHOE",5,2
96,black,https://deichmann.scene7.com/asset/deichmann/US_01_401450_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS PACER FUTURE MARBLE SNEAKER",5,2
97,white,https://deichmann.scene7.com/asset/deichmann/US_01_401234_01?$rr_main$&defaultImage=default_obs,75,"PUMA WOMENS KARMEN REBELLE PLATFORM SNEAKER",5,2
98,white,https://deichmann.scene7.com/asset/deichmann/US_01_401295_01?$rr_main$&defaultImage=default_obs,80,"PUMA WOMENS KARMEN REBELLE MID SNEAKER",5,2
99,blue,https://deichmann.scene7.com/asset/deichmann/US_01_401296_01?$rr_main$&defaultImage=default_obs,80,"PUMA WOMENS KARMEN REBELLE MID SNEAKER",5,2
100,red,https://deichmann.scene7.com/asset/deichmann/US_01_401225_01?$rr_main$&defaultImage=default_obs,80,"PUMA WOMENS VENUS SNEAKER",5,2
101,grey,https://deichmann.scene7.com/asset/deichmann/US_01_600973_01?$rr_main$&defaultImage=default_obs,65,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
102,red,https://deichmann.scene7.com/asset/deichmann/US_01_631129_01?$rr_main$&defaultImage=default_obs,60,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
103,black,https://deichmann.scene7.com/asset/deichmann/US_01_631085_01?$rr_main$&defaultImage=default_obs,60,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
104,white,https://deichmann.scene7.com/asset/deichmann/US_01_600537_01?$rr_main$&defaultImage=default_obs,60,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
105,black,https://deichmann.scene7.com/asset/deichmann/US_01_601086_01?$rr_main$&defaultImage=default_obs,65,"CONVERSE MENS PRO BLAZE STRAP SNEAKER",6,1
106,white,https://deichmann.scene7.com/asset/deichmann/US_01_600978_01?$rr_main$&defaultImage=default_obs,65,"CONVERSE MENS PRO BLAZE STRAP SNEAKER",6,1
107,black,https://deichmann.scene7.com/asset/deichmann/US_01_600976_01?$rr_main$&defaultImage=default_obs,70,"CONVERSE MENS CTAS STREET LUGGED SNEAKER BOOT",6,1
108,orange,https://deichmann.scene7.com/asset/deichmann/US_01_600977_01?$rr_main$&defaultImage=default_obs,70,"CONVERSE MENS CTAS STREET LUGGED SNEAKER BOOT",6,1
109,olive,https://deichmann.scene7.com/asset/deichmann/US_01_600983_01?$rr_main$&defaultImage=default_obs,60,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
110,red,https://deichmann.scene7.com/asset/deichmann/US_01_631129_01?$rr_main$&defaultImage=default_obs,60,"CONVERSE MENS CHUCK TAYLOR ALL STAR HIGH STREET SNEAKER",6,1
111,wine,https://deichmann.scene7.com/asset/deichmann/US_01_401477_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR MADISON FOREST GLAM SNEAKER",6,2
112,beige,https://deichmann.scene7.com/asset/deichmann/US_01_401472_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR RAVE SNEAKER",6,2
113,olive,https://deichmann.scene7.com/asset/deichmann/US_01_401471_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR RAVE SNEAKER",6,2
114,blue,https://deichmann.scene7.com/asset/deichmann/US_01_401339_01?$rr_main$&defaultImage=default_obs,75,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR HIGH TOP PLATFORM SNEAKER",6,2
115,red,https://deichmann.scene7.com/asset/deichmann/US_01_401476_01?$rr_main$&defaultImage=default_obs,75,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR HIGH TOP PLATFORM SNEAKER",6,2
116,purple,https://deichmann.scene7.com/asset/deichmann/US_01_401139_01?$rr_main$&defaultImage=default_obs,75,"CONVERSE WOMENS CHUCK TAYLOR ALL STAR HIGH TOP PLATFORM SNEAKER",6,2
118,purple,https://deichmann.scene7.com/asset/deichmann/US_01_400799_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE UNISEX CHUCK TAYLOR ALL STAR LOW TOP SNEAKER",6,2
119,green,https://deichmann.scene7.com/asset/deichmann/US_01_400802_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE UNISEX CHUCK TAYLOR ALL STAR LOW TOP SNEAKER",6,2
120,black,https://deichmann.scene7.com/asset/deichmann/US_01_430503_01?$rr_main$&defaultImage=default_obs,55,"CONVERSE UNISEX CHUCK TAYLOR ALL STAR LOW TOP SNEAKER",6,2
